0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
1512-@	嫂	嫂	sǎo	Schwägerin (Frau des älteren Bruders)	Schwägerin	Frau (女) + alter-Mann* (叟)	Frau + alter-Mann*	Die 女 Frau eines 叟 alten Mannes (genauer: die Ehefrau des älteren Bruders) ist die 嫂 Schwägerin.	嫂子 = sǎo zi = Schwägerin [Frau des älteren Bruders] // 大嫂 = dà sǎo = Schwägerin [Frau des ältesten Bruders] // 嫂嫂 = sǎo sǎo = Schwägerin [Frau des älteren Bruders]; Anrede unter verheirateten Frauen gleichen Alters
1513-@	艘	艘	sōu	[ZEW für Schiffe]	Schiffseinheit	Barke* (舟) + alter-Mann* (叟)	Barke* + alter-Mann*	Ein 叟 alter Mann fährt nicht mehr zur See, sondern steht jetzt nur noch am Ufer und zählt die 舟 Barken oder Schiffe: die 艘 Schiffseinheiten.	兩艘油船 = liǎng sōu yóu chuán = zwei Öltanker
1514-1	臿				Mörser-und-Stößel*			Das Zeichen "千 tausend" stellt hier einen Stößel dar, darunter der 臼 Mörser: 臿 Mörser und Stößel.	
1514-@	插	插	chā	hineinstecken	hineinstecken	Hand (手扌) + Mörser-und-Stößel* (臿)	Hand + Mörser-und-Stößel*	Eine 扌 Hand benutzt 臿 Mörser und Stößel. Der Stößel wird dabei in den Mörser 插 hineingesteckt.	電插頭 = diàn chā tóu = Stromstecker // 電插座 = diàn chā zuò = Steckdose // 插進 = chā jìn = hineinstecken, einstecken [Stecker eines elektr. Gerätes]
1515-1	蜀				Wurm-Art*			Eine 蜀 Art von Wurm: eine Kreatur mit 罒 Auge und einer krummen Körper- 勹 Hülle, gehörend zur Gruppe der 虫 Insekten und Würmer.	
1515-@	屬	属	shǔ	Kategorie, gehören zu	gehören-zu/Kategorie	Schwanz (尾) + Wurm-Art* (蜀)	Schwanz + Wurm-Art*	Eine bestimmte Art oder 屬 Kategorie von 尾 Schwanz 屬 gehört zu einer ganz bestimmten 蜀 Wurm-Art.	金屬 = jīn shǔ = Metall // 屬於 = shǔ yú = gehören zu, zu ... zählen // 家屬 = jiā shǔ = Familienangehörige, Familienmitglieder
1516-@	獨	独	dú	allein	allein	Hund* (犬犭) + Wurm-Art* (蜀)	Hund* + Wurm-Art*	Beide fressen am liebsten 獨 allein, in der Einsamkeit: 犭 Hunde und die 蜀 Wurm-Arten.	獨立 = dú lì = selbständig, unabhängig // 獨生子女 = dú shēng zǐ nǚ = Einzelkind // 獨自 = dú zì = auf sich gestellt, allein
1517-@	觸	触	chù	berühren, treffen	berühren/treffen	Horn/Ecke/Rolle (角) + Wurm-Art* (蜀)	Horn/Ecke/Rolle + Wurm-Art*	Das "角 Horn", also die Spitze oder Fühler einer 蜀 Art von Wurm 觸 berührt bzw. "觸 trifft" dessen Umgebung.	接觸 = jiē chù = berühren, kontaktieren // 觸電 = chù diàn = einen (elektrischen) Schlag bekommen
1518-@	南	南	nán	südlich	Süden	Glück/Handfesseln (幸) + begrenztes-Gebiet* (冂)	Glück/Handfesseln + begrenztes-Gebiet*	Das nennt man 幸 Glück, wenn man aus einem 冂 begrenzten Gebiet durch eine Öffnung in Richtung 南 Süden entfliehen kann.	南邊 = nán biān = Süden // 東南 = dōng nán = Südosten // 南部 = nán bù = Süden von ..., südlicher Teil eines Gebiets
1519-1	備 ohne 亻				Waffenarsenal*			Wahrscheinlich die Abbildung eines Gestells mit Pfeilen und anderen Waffen: ein kleines Waffenarsenal (備 ohne 亻).	
1519-@	備	备	bèi	(vorbereiten)	vorbereiten	Person (人亻) + Waffenarsenal* (備 ohne 亻)	Person + Waffenarsenal*	Eine 亻Person mit einem Waffenarsenal (備 ohne 亻) ist auf den Kampf gut 備 vorbereitet.	準備 = zhǔn bèi = vorbereiten, vorhaben, planen; Vorbereitung // 具備 = jù bèi = haben, besitzen // 設備 = shè bèi = Einrichtung, Ausstattung, Ausrüstung, Anlage
1520-1	戠				Manager*			戠 Manager waren früher u. a. Militärführer, die mit dem 音 Klang ihrer Kommandos und Signale den Einsatz der 戈 Hellebarden und anderen Waffen steuerten.	
1520-@	識	识	shí	kennen, wissen	kennen/wissen	Rede (言) + Manager* (戠)	Rede + Manager*	Ein 戠 Manager 識 kennt bzw. 識 weiß mehr Details als seine Untergebenen; und er sollte diese Kenntnisse in 言 Reden kommunizieren.	認識 = rèn shí = kennen, kennenlernen // 知識 = zhī shí = Kenntnis, Wissen // 知識分子 = zhī shí fèn zǐ = Intellektueller, "Intelligenzia"
1521-@	職	职	zhí	(Dienst, Pflicht, Arbeit, Amt, Beruf)	Dienst/Pflicht	Ohr (耳) + Manager* (戠)	Ohr + Manager*	Eine wichtige 職 Pflicht im 職 Dienst eines 戠 Managers ist es, den Mitarbeitern sein 耳 Ohr zu schenken, ihnen zuzuhören.	職業 = zhí yè = Beruf // 職工 = zhí gōng = Belegschaft, Angestellte und Arbeiter // 職員 = zhí yuán = Angestellter
1522-@	織	织	zhī	weben, flechten, stricken	weben/stricken	Seide* (糸) + Manager* (戠)	Seide* + Manager*	Eine Person, die Seide zu Stoffen 織 webt, kann man als 戠 Manager der 糸 Seide bezeichnen. Auch in den Bedeutungen: 織 stricken, flechten, knüpfen, wirken.	組織 = zǔ zhī = Organisation; organisieren // 紡織 = fǎng zhī = Textil-; spinnen und weben // 恐怖組織 = kǒng bù zǔ zhī = terroristische Vereinigung
1523-1	塞 ohne 土				vollstopfen*			廾 (Zwei) Hände füllen den Raum unter dem 宀 Dach mit vielen 工工工工 Dingen (vielleicht Vorräte?): vollstopfen (塞 ohne 土).	
1523-@	塞	塞	1) sāi / 2) sài / 3) sè	1) stopfen, verstopfen / 2) (strategischer Ort im Grenzgebiet) / 3) (blockieren)	verstopfen	vollstopfen* (塞 ohne 土) + Erde (土)	vollstopfen* + Erde	Wird eine Öffnung mit 土 Erde vollgestopft (塞 ohne 土), ist sie 塞 verstopft, abgedichtet, verpfropft.	塞車 = sāi chē = Verkehrsstau [TW] // 杜塞爾多夫 = dù sāi ěr duō fū = Düsseldorf [Hauptstadt von NRW] // 軟木塞 = ruǎn mù sāi = Korken // 塞翁失馬 = sài wēng shī mǎ = Glück im Unglück; wer weiß, ob dieses Unglück nicht doch Glück ist? [Redensart] // 阻塞 = zǔ sè = Sperre, Hindernis, Stau; absperren, verstopfen // 堵塞 = dǔ sè = blockieren, stauen; Stau
1524-@	寒	寒	hán	(kalt)	Kälte	vollstopfen* (塞 ohne 土) + Eisklumpen* (冫)	vollstopfen* + Eisklumpen*	Wenn 冫 Eisklumpen in die Behausung gelangen, dann wird es Zeit, die Löcher vollzustopfen (塞 ohne 土), damit die 寒 Kälte draußen bleibt.	寒假 = hán jià = Winterferien // 寒冷 = hán lěng = kalt, frostig, eisig // 寒風 = hán fēng = kalter Wind
1525-@	賽	赛	sài	wetteifern, Wettbewerb	Wettbewerb	vollstopfen* (塞 ohne 土) + Muschel/Geld (貝)	vollstopfen* + Muschel/Geld	Erntedankfest in China war vielleicht auch ein 賽 Wettbewerb zwischen den Sippen und Dörfern - welche Ernte-Speicher sind am meisten vollgestopft (塞 ohne 土), wer hat am meisten 貝 Geld verdient?	比賽 = bǐ sài = Wettkampf, Wettbewerb // 競賽 = jìng sài = Wettbewerb, Wettkampf // 球賽 = qiú sài = Ballspiel, Ballwettbewerb
1526-1	隺				hochfliegend*			Ein 隹 (kleiner) Vogel, der aus 冂 begrenztem Gebiet ausbricht, der seine Freiheit nutzt und 隺 hoch fliegt.	
1526-@	鶴	鹤	hè	Kranich	Kranich	hochfliegend* (隺) + Vogel (鳥)	hochfliegend* + Vogel	Ein 隺 hochfliegender 鳥 Vogel: der 鶴 Kranich, der in China ein Symbol der Langlebigkeit ist.	
1527-@	確	确	què	fest, wirklich, sicherlich, bestimmt, wahr	fest/wirklich/wahr	Stein (石) + hochfliegend* (隺)	Stein + hochfliegend*	石 Stein und ein 隺 hochfliegender Vogel suggerieren Beständigkeit, Hartnäckigkeit, Beharrlichkeit; daher die Bedeutungen: 確 fest, 確 wirklich, 確 wahr, usw.	確實 = què shí = wirklich, gewiss, sicher // 正確 = zhèng què = richtig, korrekt, genau // 準確 = zhǔn què = genau, präzise, exakt
1528-@	約	约	yuē	sich verabreden, vereinbaren; einschränken, beschränken; Vertrag; ungefähr, circa	verabreden/beschränken/circa	Seide* (糸) + Löffel (勺)	Seide* + Löffel	糸 Seiden-Fäden und 勺 Löffel haben sowohl verbindende Funktion (die die Basis für 約 Verabredungen ist), als auch 約 beschränkende Funktion.	大約 = dà yuē = ungefähr, ca. // 節約 = jié yuē = sparen; sparsam sein // 約會 = yuē huì = Verabredung
1529-@	達	达	dá	erreichen, mitteilen	erreichen/mitteilen	Erde (土) + Hammel (羊) + rasch-gehen* (辵辶)	Erde + Hammel + rasch-gehen*	Mit einer 大 großen (veränderte Komp. "土 Erde") 羊 Hammel-Herde 辶 (rasch) gehen und sein Ziel 達 erreichen. Auch 達 mitteilen = sprachlich erreichen.	表達 = biǎo dá = ausdrücken, aussprechen, äußern // 達到 = dá dào = erreichen, ankommen // 到達 = dào dá = ankommen
1530-@	勻	匀	yún	(gleichverteilt, ausgeglichen)	gleichverteilt	Hülle* (勹) + zwei (二)	Hülle* + zwei	Etwas in einer 勹 Hülle bzw. ein Bündel wird in 二 zwei Teile 勻 gleichverteilt.	均勻 = jūn yún = homogen, gleichmäßig
1531-@	均	均	jūn	gleichmäßig, ausnahmslos	gleichmäßig/ausnahmslos	Erde (土) + gleichverteilt (勻)	Erde + gleichverteilt	土 Erde 勻 gleich aufteilen - also 均 gleichmäßig und 均 ausnahmslos.	平均 = píng jūn = Durchschnitt; durchschnittlich, gleichmäßig, mittlere/r // 均勻 = jūn yún = homogen, gleichmäßig
1532-@	抓	抓	zhuā	ergreifen, packen	ergreifen	Hand (手扌) + Hand/Kralle* (爪 爫)	Hand + Hand/Kralle*	Die 扌 Hände wie 爪 Krallen verwenden - also etwas richtig 抓 ergreifen oder packen.	抓緊 = zhuā jǐn = sich intensiv befassen mit, nicht nachlassen, etwas fest anpacken; (Zeit) ausnutzen // 抓住 = zhuā zhù = schnappen, fassen, festnehmen
1533-@	乎	乎	hū	(nicht etwa, vielleicht, ungefähr)	vielleicht?	ausatmen* (丂/ 一 plus 亅) + klein (小)	ausatmen* + klein	Ein 小 kleines Ausatmen (丂 oder 一 plus 亅), verbunden mit einer Frage oder einem Ausruf: 乎 Vielleicht? Nicht etwa?	幾乎 = jī hū = fast, beinahe; ungefähr, gegen // 似乎 = sì hū = anscheinend, als ob // 不在乎 = bù zài hū = auf die leichte Schulter nehmen, nicht groß darum kümmern
1534-@	呼	呼	hū	ausatmen, rufen	ausatmen/rufen	Mund (口) + vielleicht? (乎)	Mund + vielleicht?	Eng verwandt mit "乎 vielleicht?" (= ein kleines Ausatmen), ergänzt durch den beim 呼 Ausatmen, beim 呼 Rufen benutzten 口 Mund.	呼吸 = hū xī = atmen // 招呼 = zhāo hū = begrüßen // 歡呼 = huān hū = jubeln
1535-@	屜	屉	tì	(Schublade)	Schublade	Leiche/Körper* (尸) + Linie/gehen (行彳) + Generation/Leben (世)	Leiche/Körper* + Linie/gehen + Generation/Leben	In einem Leichenschauhaus liegen die 尸 Leichen in gekühlten 屜 Schubladen-ähnlichen Fächern; lauter ver- 彳 gangenes 世 Leben.	回屜 = huí tì = (ein kaltes Gericht) wieder aufwärmen // 抽屜 = chōu tì = Schublade // 籠屜 = lóng tì = stapelbarer Dampfgarkorb
1536-1	余				Individualist*			In einer Versammlung (人 plus 一) hebt ein 余 Individualist die 扌 Hand und separiert sich (八 teilt sich ab) von der Masse.	
1536-@	除	除	chú	entfernen, dividieren	entfernen	Hügel* (阜阝 (li)) + Individualist* (余)	Hügel* + Individualist*	Ein 余 Individualist nimmt sich die Freiheit und trägt einen 阝 Hügel ab; er 除 entfernt ihn.	除了 = chú le = außer, abgesehen von // 除了…以外 = chú le ... yǐ wài = abgesehen von, außer // 大掃除 = dà sǎo chú = Großreinemachen (z. B. vor Feiertagen)
1537-@	餘	余	yú	übrig, restlich, mehr als	übrig/extra	Kochgefäß (食飠) + Individualist* (余)	Kochgefäß + Individualist*	Der 余 Individualist will manchmal eine 餘 Extra-Wurst; oder er erlaubt sich, (aus dem 食 Kochgefäß) etwas 餘 übrig zu lassen.	其餘 = qí yú = die übrigen, die anderen, der Rest // 業餘 = yè yú = Freizeit // 年年有餘 = nián nián yǒu yú = jedes Jahr einen Überschuß haben [Redensart]
1538-@	差	差	1) chā / 2) chà / 3) chāi	1) Differenz, Unterschied / 2) falsch, fehlen, schlecht / 3) Amtsdiener, Abgesandter, Auftrag	Differenz/fehlen/Abgesandter	herabhängen/-fallen (垂) + links (左)	herabhängen/-fallen + links	Die 左 linke Hand 垂 herunterhängen (Komp. verändert) lassen: das ist Passivität, da 差 fehlt Energie, da ist eine 差 Differenz zwischen Aktivität und der hier dargestellten 差 falschen, schlechten Passivität. Ein 差 Abgesandter fehlt an seiner ursprünglichen Arbeitsstelle, da er unterwegs ist.	分秒不差 = fèn miǎo bù chā = sehr pünktlich // 時差 = shí chā = Zeitunterschied, Zeitdifferenz // 二點差十分 = èr diǎn chā shí fēn = zehn Minuten vor zwei Uhr // 差不多 = chà bù duō = hinreichend (sein); ungefähr, fast // 差點兒 = chà diǎn r = fast, beinahe // 差別 = chà bié = Unterschied // 出差 = chū chāi = dienstlich verreisen // 郵差 = yóu chāi = Briefträger
1539-1	制 ohne 刂				großer-Baum*			Bild eines großen Baumes (制 ohne 刂) mit vielen Zweigen.	
1539-@	制	制	zhì	System, kontrollieren, beherrschen	kontrollieren/System	großer-Baum* (制 ohne 刂) + Messer (刀刂)	großer-Baum* + Messer	Ein (zu) großer Baum (制 ohne 刂), der mit einem 刂 Messer-ähnlichen Werkzeug gestutzt werden muß - ein 制 System, das 制 kontrolliert werden muß.	限制 = xiàn zhì = einschränken, limitieren // 控制 = kòng zhì = kontrollieren, beherrschen // 制定 = zhì dìng = ausarbeiten, festlegen, konstituieren
1540-@	製	制	zhì	herstellen, machen	produzieren	kontrollieren/System (制) + Kleidung (衣衤)	kontrollieren/System + Kleidung	Um etwas gut zu 製 produzieren, z. B. 衣 Kleidung, ist ein ausgeklügeltes 制 System und 制 Kontrolle erforderlich.	製造 = zhì zào = herstellen, produzieren, erschaffen // 研製 = yán zhì = entwickeln, fertigen // 錄製 = lù zhì = (auf Platte, auf Band) aufnehmen 
1541-@	眾	众	zhòng	(Massen, viele)	viele/Massen	Netz/Auge* (罒) + drei-Personen* (人亻人)	Netz/Auge* + drei-Personen*	Das 罒 Auge des Betrachters sieht drei Personen (人 plus 亻 plus 人), die für 眾 viele Menschen, kurz die "眾 Massen", stehen.	觀眾 = guān zhòng = Zuschauer, Publikum // 群眾 = qún zhòng = Volk, Volksmasse, Menschenmasse // 人多勢眾 = rén duō shì zhòng = zahlenmäßig stark [Redensart]
1542-@	罵	骂	mà	verfluchen, schimpfen	schimpfen/fluchen	Netz (網) + Pferd (馬)	Netz + Pferd	Ein 馬 Pferd mit einem 罒 Netz (oder Lasso) zu fangen oder zu bändigen ist schwierig, der Fänger 罵 flucht oder 罵 schimpft!	責罵 = zé mà = schelten, zurechtweisen // 辱罵 = rǔ mà = beschimpfen, anpöbeln // 挨罵 = ái mà = ausgeschimpft werden
1543-1	朿				Gebüsch*			Bild eines 朿 Gebüsches, nicht zu verwechseln mit 束 Bündel.	
1543-@	刺	刺	cì	Dorn, stechen, sticheln, reizen	Dorn/stechen	Gebüsch* (朿) + Messer (刀刂)	Gebüsch* + Messer	Ein 朿 Gebüsch besteht manchmal aus Zweigen oder 刺 Dornen, die wie spitze 刂 Messer 刺 stechen.	刺激 = cì jī = Nervenkitzel; erregen, anreizen, stimulieren // 刺刀 = cì dāo = Bajonett // 衝刺 = chōng cì = Spurt, Sprint
1544-@	策	策	cè	(Plan, Entwurf, Taktik)	Plan/Taktik	Bambus (竹) + Gebüsch* (朿)	Bambus + Gebüsch*	Um etwas Schwieriges - wie das Durchqueren eines 朿 Gebüsches - zu erledigen, bedarf es zuvor eines 策 Plans, einer 策 Taktik, notiert auf 竹 Bambus-Täfelchen.	政策 = zhèng cè = Politik, politische Richtlinie // 一個中國政策 = yī gè zhōng guó zhèng cè = Ein-China-Politik // 一孩政策 = yī hái zhèng cè = Ein-Kind-Politik
1545-@	責	责	zé	(Pflicht, Verantwortung)	Pflicht	Gebüsch* (朿) + Muschel/Geld (貝)	Gebüsch* + Muschel/Geld	Wenn man jemandem 貝 Geld schuldet, hat man die 責 Pflicht, es zurückzuzahlen; für viele eine unangenehme Aufgabe - so wie durch ein 朿 Gebüsch (= obere Komp., etwas verändert) zu laufen.	負責 = fù zé = verantworten, verantwortungsbewußt // 責任 = zé rèn = Verantwortung; verantwortlich // 責任心 = zé rèn xīn = Verantwortungsbewusstsein
1546-@	鈴	铃	líng	Glocke, Klingel	Glocke/Klingel	Gold/Metall (金) + tun-lassen (令)	Gold/Metall + tun-lassen	Durch das Anschlagen von 金 Metall mittels einer 鈴 Glocke oder 鈴 Klingel andere etwas 令 tun lassen.	電話鈴 = diàn huà líng = Telefonklingel // 電鈴 = diàn líng = elektrische Klingel // 鈴聲 = líng shēng = Klingelton, Glockenton
1547-1	鎖 ohne 金				wenige-Münzen*			小 Kleines (gespiegelt geschrieben) 貝 Geld: das sind zum Beispiel einige wenige Münzen (鎖 ohne 金), die im alten China ein Loch in der Mitte hatten und mittels einer Schnur zusammengehalten wurden.	
1547-@	鎖	锁	suǒ	verschließen, Schloß	Schloß/schließen	Gold/Metall (金) + wenige-Münzen* (鎖 ohne 金)	Gold/Metall + wenige-Münzen*	Ein 鎖 Schloß ist aus 金 Metall gefertigt und klappert beim Öffnen und 鎖 Schließen wie einige wenige Münzen (鎖 ohne 金).	安全鎖 = ān quán suǒ = Sicherheitsschloß // 門鎖 = mén suǒ = Türschloß // 鎖門 = suǒ mén = eine Tür zuschließen
1548-@	茄	茄	qié	(Eierfrucht, Aubergine)	Eierfrucht	Pflanzen/Gras* (艸艹) + hinzufügen (加)	Pflanzen/Gras* + hinzufügen	Eine 艹 Pflanze mit hängenden eiförmigen Früchten, die wie 加 hinzugefügt wirken: 茄 Eierfrucht, Aubergine, aber auch Tomate.	茄子 = qié zi = Aubergine, Eierfrucht // 番茄 = fān qié = Tomate
1549-@	賀	贺	hè	(gratulieren)	gratulieren	hinzufügen (加) + Muschel/Geld (貝)	hinzufügen + Muschel/Geld	Man 賀 gratuliert zum Geburtstag (Geldgeschenk) oder zu einer Beförderung (Gehaltserhöhung); es wird dabei also oft 貝 Geld "加 hinzugefügt".	祝賀 = zhù hè = jn. beglückwünschen, jm. gratulieren // 賀卡 = hè kǎ = Glückwunschkarte
1550-@	架	架	jià	Gestell, Regal; aufbauen; Streit; [ZEW für Maschinen]	Gestell/aufbauen	hinzufügen (加) + Baum/Holz (木)	hinzufügen + Baum/Holz	Etwas aus 木 Holz, das 架 aufgebaut wird, und in das oder zu dem man Dinge 加 hinzufügen kann: ein 架 Gestell oder Regal. Andere Bedeutungen: Zählwort für Maschinen; Streit, Prügelei (sich aufbauen vor einem Gegner).	書架 = shū jià = Bücherregal // 架子 = jià zi = Gerüst, Regal; Wichtigtuerei // 擺架子 = bǎi jià zi = sich groß aufspielen
1551-@	駕	驾	jià	(fahren, anspannen)	anspannen/fahren	hinzufügen (加) + Pferd (馬)	hinzufügen + Pferd	Ein 馬 Pferd 駕 anspannen, d. h. ihm ein Gefährt 加 hinzuzufügen, um auszu- 駕 fahren.	勞駕 = láo jià = Verzeihung ..., Seien Sie so gut und ... // 駕駛者 = jià shǐ zhě = Fahrer // 駕駛員 = jià shǐ yuán = Fahrer, Pilot
1552-@	咖	咖	1) gā / 2) kā	1) [Zeichen zur Lautbildung in Fremdnamen, z.B. Curry] / 2) [Zeichen zur Lautbildung in Fremdnamen, z.B. Kaffee]	ka-/ga-Laut	Mund (口) + hinzufügen (加)	Mund + hinzufügen	Dem 口 Mund etwas 加 hinzufügen, das es in China nicht gab, und zwar Kaffee und Curry - jeweils die erste Silbe ist ein 咖 ka-/ga-Laut: 咖啡, 咖哩.	咖啡 = kā fēi = Kaffee // 網咖 = wǎng kā = Cybercafé // 速溶咖啡 = sù róng kā fēi = Löslicher Kaffee, Instantkaffee
1553-@	返	返	fǎn	(zurückkehren, zurückgehen)	umkehren	umdrehen (反) + rasch-gehen* (辵辶)	umdrehen + rasch-gehen*	辶 (Rasch) gehen und dann 反 umdrehen - also 返 umkehren, zurückgehen.	返工 = fǎn gōng = eine schlechte Arbeit wiederholen // 往返票 = wǎng fǎn piào = Rückfahrkarte // 往返 = wǎng fǎn = hin und her, hin und zurück
1554-@	溶	溶	róng	sich lösen, in eine Lösung aufgehen	sich-lösen	Wasser (水氵) + enthalten/Aussehen (容)	Wasser + enthalten/Aussehen	Wenn Feststoffe in Wasser 溶 sich lösen, sind sie quasi im 氵 Wasser 容 enthalten.	溶解 = róng jiě = sich auflösen // 溶化 = róng huà = sich auflösen // 速溶 = sù róng = schnell löslich, Instant-
1555-@	守	守	shǒu	verteidigen, bewachen, festhalten	bewachen	Dach* (宀) + Daumen/Hand (寸)	Dach* + Daumen/Hand	Der Eigentümer eines Hauses 守 bewacht das Hab und Gut unter seinem 宀 Dach mit dem 寸 Daumen am Abzug ...	遵守 = zūn shǒu = befolgen, beachten, einhalten // 守時 = shǒu shí = pünktlich // 信守 = xìn shǒu = zu etwas/jmd. stehen, einhalten
1556-@	煩	烦	fán	(belästigen)	belästigen	Feuer (火灬) + Kopfmensch/Seite (頁)	Feuer + Kopfmensch/Seite	Du wärst auch 煩 belästigt und ärgerlich, wenn jemand dir (= einem 頁 Kopfmenschen) 火 Feuer unter dem Hintern oder dir einen heißen Kopf macht.	煩惱 = fán nǎo = Sorgen; schlecht gelaunt; sich ärgern // 麻煩 = má fán = umständlich, lästig, unangenehm (sein); jn. belästigen, stören // 心煩意亂 = xīn fán yì luàn = gereizt, unruhig [Redensart]
1557-@	憂	忧	yōu	besorgt sein, beunruhigt sein, sich Sorgen machen; Kummer	besorgt	Glatzkopf* (首 ohne 丷) + Deckel* (冖) + Herz/Gefühl (心忄) + langsam-gehen* (夂)	Glatzkopf* + Deckel* + Herz/Gefühl + langsam-gehen*	Jemand 夂 geht langsam umher, sein 心 Herz ist mit einem 冖 Deckel verschlossen und ihm sind die Haare ausgegangen (Glatzkopf: 首 ohne 丷) - so 憂 besorgt ist er.	憂慮 = yōu lǜ = befürchten, beunruhigen; Besorgnis // 憂愁 = yōu chóu = Kummer, Sorge, Besorgnis
1558-@	擾	扰	rǎo	(belästigen, stören)	stören	Hand (手扌) + besorgt (憂)	Hand + besorgt	Die Berührung einer (fremden) 扌 Hand macht jemanden 憂 besorgt; sie 擾 stört ihn.	打擾 = dǎ rǎo = stören, belästigen // 擾亂 = rǎo luàn = Unruhe stiften // 煩擾 = fán rǎo = stören, belästigen, plagen
1559-@	落	落	luò	fallen, vergehen	fallen/vergehen	Pflanzen/Gras* (艸艹) + Wasser (水氵) + jeder/verschieden (各)	Pflanzen/Gras* + Wasser + jeder/verschieden	氵 Wasser fällt, Blätter von 艹 Pflanzen fallen - 各 jeder, jedes Ding, so 各 verschieden es sein mag, 落 fällt, 落 vergeht irgendwann.	落後 = luò hòu = zurückbleiben, rückständig // 水落石出 = shuǐ luò shí chū = etwas, was lange im Dunkeln lag, klärt sich auf [Redensart] // 日落 = rì luò = Sonnenuntergang
1560-@	鬥	斗	dòu	kämpfen, wetteifern	kämpfen			Symbolische Darstellung zweier sich gegenüberstehender Krieger, die ihre Hände mit ihren Waffen erheben und 鬥 kämpfen wollen.	鬥爭 = dòu zhēng = kämpfen, bekämpfen // 奮鬥 = fèn dòu = kämpfen, ringen, streben; Kampf, Anstrengung // 戰鬥 = zhàn dòu = kämpfen
1561-@	鬧	闹	nào	Lärm, Unruhe, lärmen, schimpfen, ungezogen	geräuschvoll	kämpfen (鬥) + Markt/Stadt (市)	kämpfen + Markt/Stadt	Auf einem 市 Markt wird üblicherweise 鬧 geräuschvoll um den besten Preis "鬥 gekämpft".	熱鬧 = rè nào = lebhaft, rege // 鬧鐘 = nào zhōng = Wecker // 鬧洞房 = nào dòng fáng = dem Brautpaar Streiche spielen
1562-@	某	某	mǒu	ein gewisser, ein bestimmter, soundso, jemand; einige	ein-bestimmter	süß/willig (甘) + Baum/Holz (木)	süß/willig + Baum/Holz	Unter allen Bäumen ist ein 木 Baum mit 甘 süßen Früchten etwas Besonderes; er ist also 某 ein bestimmter Baum.	某些 = mǒu xiē = einige bestimmte, einige gewisse // 某甲某乙 = mǒu jiǎ mǒu yǐ = Herr X und Herr Y
1563-@	煤	煤	méi	Kohle	Kohle	Feuer (火灬) + ein-bestimmter (某)	Feuer + ein-bestimmter	Viele Dinge brennen; hier geht es um 某 einen bestimmten, besonders gut geigneten Stoff, um 火 Feuer zu machen: 煤 Kohle.	煤氣 = méi qì = Kohlengas, Erdgas // 煤油 = méi yóu = Petroleum // 煤礦 = méi kuàng = Kohlebergwerk
1564-@	謀	谋	móu	(Plan, List, Ränke)	Plan/List	Rede (言) + ein-bestimmter (某)	Rede + ein-bestimmter	Eine 言 Rede mit 某 einer bestimmten, besonderen Absicht: eine 謀 List, einen 謀 Plan besprechen, Ränke schmieden.	計謀 = jì móu = List, Strategem // 陰謀 = yīn móu = Komplott, Intrige, Verschwörung
1565-@	賭	赌	dǔ	spielen, wetten; Glücksspiel, Wette	spielen/wetten	Muschel/Geld (貝) + derjenige-der (者)	Muschel/Geld + derjenige-der	者 Derjenige, der nur mehr 貝 Geld im Kopf hat, 賭 spielt um Geld, 賭 wettet.	打賭 = dǎ dǔ = wetten; Wette // 賭場 = dǔ chǎng = Spielhölle, Spielkasino // 賭錢 = dǔ qián = um Geld spielen
1566-@	魄	魄	pò	(Seele, Energie, Geist)	Seele/Geist	weiß (白) + Dämon (鬼)	weiß + Dämon	魄 Seele oder 魄 Geist sind nicht begreifbar wie 鬼 Dämonen im 白 weißen Nebel.	魄力 = pò lì = Ausstrahlung, Entschlossenheit, Charisma, Forschheit // 氣魄 = qì pò = Kühnheit, Mut
1567-@	府	府	fǔ	(Amtssitz, Residenz)	Amtssitz	Schutzdach* (广) + übergeben/bezahlen (付)	Schutzdach* + übergeben/bezahlen	Ein 府 Amtssitz ist eine Behausung mit einem 广 Schutzdach, in der über Verträge Besitztümer 付 bezahlt und 付 übergeben werden.	政府 = zhèng fǔ = Regierung // 王府井 = wáng fǔ jǐng = "Wangfujing" [Haupteinkaufsstraße in Peking]
1568-@	咐	咐	fù	ermahnen	ermahnen	Mund (口) + übergeben/bezahlen (付)	Mund + übergeben/bezahlen	口 Münd- lich jemanden an die 付 Bezahlung erinnern, d. h. jemanden 咐 ermahnen, endlich das Geld zu 付 übergeben.	吩咐 = fēn fù = instruieren, anweisen, befehlen // 囑咐 = zhǔ fù = ermahnen, einschärfen
1569-@	附	附	fù	(nahe; beifügen)	nahe/beifügen	Hügel* (阜阝 (li)) + übergeben/bezahlen (付)	Hügel* + übergeben/bezahlen	Ein 阝 Hügel wird aufgeschichtet, indem Erde aus der 附 Nähe 付 übergeben und dem Hügel 附 beigefügt wird.	附近 = fù jìn = in der Nähe, nahebei, [nach Ortsnomina] // 附加 = fù jiā = beifügen, beilegen, hinzufügen; beigefügt // 附件 = fù jiàn = Anhang, Anlage, Beilage; Zubehör
